Timestamp,Engine,OpType,AvgLatency_ms,P99Latency_ms,OpsPerSec,RamMB,Event
0.1,BASE_ROCKSDB,WRITE,0,0,0,15.6484,NONE
0.2,BASE_ROCKSDB,WRITE,0,0,0,19.3477,NONE
0.3,BASE_ROCKSDB,WRITE,0,0,0,23.0312,NONE
0.4,BASE_ROCKSDB,WRITE,0,0,0,26.7109,NONE
0.501,BASE_ROCKSDB,WRITE,0,0,0,30.4141,NONE
0.601,BASE_ROCKSDB,WRITE,0,0,0,34.0781,NONE
0.701,BASE_ROCKSDB,WRITE,0,0,0,37.7773,NONE
0.801,BASE_ROCKSDB,WRITE,0,0,0,41.4688,NONE
0.901,BASE_ROCKSDB,WRITE,0,0,0,45.1602,NONE
1.002,BASE_ROCKSDB,WRITE,0,0,0,48.8516,NONE
1.102,BASE_ROCKSDB,WRITE,0,0,0,52.5586,NONE
1.202,BASE_ROCKSDB,WRITE,0,0,0,56.2422,NONE
1.302,BASE_ROCKSDB,WRITE,0,0,0,59.9141,NONE
1.403,BASE_ROCKSDB,WRITE,0,0,0,63.5859,NONE
1.503,BASE_ROCKSDB,WRITE,0,0,0,67.2578,NONE
1.603,BASE_ROCKSDB,WRITE,0,0,0,70.9414,NONE
1.703,BASE_ROCKSDB,WRITE,0,0,0,74.5781,NONE
1.804,BASE_ROCKSDB,WRITE,0,0,0,78.5664,NONE
1.904,BASE_ROCKSDB,WRITE,0,0,0,82.5859,NONE
2.004,BASE_ROCKSDB,WRITE,0,0,0,22.3633,NONE
2.104,BASE_ROCKSDB,WRITE,0,0,0,26.0586,NONE
2.204,BASE_ROCKSDB,WRITE,0,0,0,29.7422,NONE
2.305,BASE_ROCKSDB,WRITE,0,0,0,33.4336,NONE
2.405,BASE_ROCKSDB,WRITE,0,0,0,37.1211,NONE
2.505,BASE_ROCKSDB,WRITE,0,0,0,40.7969,NONE
2.605,BASE_ROCKSDB,WRITE,0,0,0,44.4844,NONE
2.706,BASE_ROCKSDB,WRITE,0,0,0,48.1992,NONE
2.806,BASE_ROCKSDB,WRITE,0,0,0,51.8945,NONE
2.906,BASE_ROCKSDB,WRITE,0,0,0,55.5898,NONE
3.006,BASE_ROCKSDB,WRITE,0,0,0,59.2773,NONE
3.106,BASE_ROCKSDB,WRITE,0,0,0,62.9727,NONE
3.207,BASE_ROCKSDB,WRITE,0,0,0,66.668,NONE
3.307,BASE_ROCKSDB,WRITE,0,0,0,70.3594,NONE
3.407,BASE_ROCKSDB,WRITE,0,0,0,74.0547,NONE
3.507,BASE_ROCKSDB,WRITE,0,0,0,77.7461,NONE
3.608,BASE_ROCKSDB,WRITE,0,0,0,83.5195,NONE
3.708,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
3.808,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
3.908,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
4.009,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
4.109,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
4.209,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
4.309,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
4.409,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
4.51,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
4.61,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
4.71,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
4.81,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
4.911,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
5.011,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
5.111,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
5.211,BASE_ROCKSDB,WRITE,0,0,0,80.5469,NONE
5.312,BASE_ROCKSDB,WRITE,0,0,0,83.4492,NONE
5.412,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
5.512,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
5.612,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
5.712,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
5.813,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
5.913,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
6.013,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
6.113,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
6.214,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
6.314,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
6.414,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
6.514,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
6.614,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
6.715,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
6.815,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
6.915,BASE_ROCKSDB,WRITE,0,0,0,85.0664,NONE
7.015,BASE_ROCKSDB,WRITE,0,0,0,86.7031,NONE
7.116,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
7.216,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
7.316,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
7.416,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
7.516,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
7.617,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
7.717,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
7.817,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
7.917,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
8.018,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
8.118,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
8.218,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
8.318,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
8.419,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
8.519,BASE_ROCKSDB,WRITE,0,0,0,75.4961,NONE
8.619,BASE_ROCKSDB,WRITE,0,0,0,77.2656,NONE
8.719,BASE_ROCKSDB,WRITE,0,0,0,82.5078,NONE
8.819,BASE_ROCKSDB,WRITE,0,0,0,84.8516,NONE
8.92,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
9.02,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
9.12,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
9.22,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
9.321,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
9.421,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
9.521,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
9.621,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
9.721,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
9.822,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
9.922,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
10.022,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
10.122,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
10.223,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
10.323,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
10.423,BASE_ROCKSDB,WRITE,0,0,0,85.5625,NONE
10.523,BASE_ROCKSDB,WRITE,0,0,0,87.4883,NONE
10.624,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
10.724,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
10.824,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
10.924,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
11.024,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
11.125,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
11.225,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
11.325,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
11.425,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
11.526,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
11.626,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
11.726,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
11.826,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
11.926,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
12.027,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
12.127,BASE_ROCKSDB,WRITE,0,0,0,81.207,NONE
12.227,BASE_ROCKSDB,WRITE,0,0,0,83.5625,NONE
12.327,BASE_ROCKSDB,WRITE,0,0,0,85.3516,NONE
12.428,BASE_ROCKSDB,WRITE,0,0,0,85.3516,NONE
