Timestamp,Engine,OpType,AvgLatency_ms,P99Latency_ms,OpsPerSec,RamMB,Event
0.1,BASE_ROCKSDB,WRITE,0,0,0,14.5586,NONE
0.2,BASE_ROCKSDB,WRITE,0,0,0,18.0547,NONE
0.3,BASE_ROCKSDB,WRITE,0,0,0,21.6133,NONE
0.4,BASE_ROCKSDB,WRITE,0,0,0,25.2109,NONE
0.501,BASE_ROCKSDB,WRITE,0,0,0,28.8281,NONE
0.601,BASE_ROCKSDB,WRITE,0,0,0,32.4297,NONE
0.701,BASE_ROCKSDB,WRITE,0,0,0,36.0977,NONE
0.801,BASE_ROCKSDB,WRITE,0,0,0,39.7188,NONE
0.901,BASE_ROCKSDB,WRITE,0,0,0,43.3477,NONE
1.001,BASE_ROCKSDB,WRITE,0,0,0,47,NONE
1.102,BASE_ROCKSDB,WRITE,0,0,0,50.6367,NONE
1.202,BASE_ROCKSDB,WRITE,0,0,0,54.2695,NONE
1.302,BASE_ROCKSDB,WRITE,0,0,0,57.9375,NONE
1.402,BASE_ROCKSDB,WRITE,0,0,0,61.6172,NONE
1.502,BASE_ROCKSDB,WRITE,0,0,0,65.293,NONE
1.603,BASE_ROCKSDB,WRITE,0,0,0,68.9766,NONE
1.703,BASE_ROCKSDB,WRITE,0,0,0,72.6719,NONE
1.803,BASE_ROCKSDB,WRITE,0,0,0,76.3633,NONE
1.903,BASE_ROCKSDB,WRITE,0,0,0,82.3125,NONE
2.003,BASE_ROCKSDB,WRITE,0,0,0,20.5938,NONE
2.103,BASE_ROCKSDB,WRITE,0,0,0,24.2656,NONE
2.204,BASE_ROCKSDB,WRITE,0,0,0,27.957,NONE
2.304,BASE_ROCKSDB,WRITE,0,0,0,31.6719,NONE
2.404,BASE_ROCKSDB,WRITE,0,0,0,35.3828,NONE
2.504,BASE_ROCKSDB,WRITE,0,0,0,39.082,NONE
2.605,BASE_ROCKSDB,WRITE,0,0,0,42.793,NONE
2.705,BASE_ROCKSDB,WRITE,0,0,0,46.5156,NONE
2.805,BASE_ROCKSDB,WRITE,0,0,0,50.2383,NONE
2.905,BASE_ROCKSDB,WRITE,0,0,0,53.9531,NONE
3.005,BASE_ROCKSDB,WRITE,0,0,0,57.6641,NONE
3.106,BASE_ROCKSDB,WRITE,0,0,0,61.3672,NONE
3.206,BASE_ROCKSDB,WRITE,0,0,0,65.0859,NONE
3.306,BASE_ROCKSDB,WRITE,0,0,0,68.8086,NONE
3.406,BASE_ROCKSDB,WRITE,0,0,0,72.5938,NONE
3.507,BASE_ROCKSDB,WRITE,0,0,0,76.3906,NONE
3.607,BASE_ROCKSDB,WRITE,0,0,0,82.0195,NONE
3.707,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
3.807,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
3.907,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
4.008,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
4.108,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
4.208,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
4.308,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
4.409,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
4.509,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
4.609,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
4.709,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
4.81,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
4.91,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
5.01,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
5.11,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
5.21,BASE_ROCKSDB,WRITE,0,0,0,79.4062,NONE
5.311,BASE_ROCKSDB,WRITE,0,0,0,82.6367,NONE
5.411,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
5.511,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
5.611,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
5.712,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
5.812,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
5.912,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
6.012,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
6.112,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
6.213,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
6.313,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
6.413,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
6.513,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
6.614,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
6.714,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
6.814,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
6.914,BASE_ROCKSDB,WRITE,0,0,0,83.8359,NONE
7.015,BASE_ROCKSDB,WRITE,0,0,0,85.793,NONE
7.115,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
7.215,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
7.315,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
7.415,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
7.516,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
7.616,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
7.716,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
7.816,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
7.917,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
8.017,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
8.117,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
8.217,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
8.317,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
8.418,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
8.518,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
8.618,BASE_ROCKSDB,WRITE,0,0,0,80.2656,NONE
8.718,BASE_ROCKSDB,WRITE,0,0,0,83.7578,NONE
8.819,BASE_ROCKSDB,WRITE,0,0,0,84.4219,NONE
8.919,BASE_ROCKSDB,WRITE,0,0,0,84.4219,NONE
