Timestamp,Engine,OpType,AvgLatency_ms,P99Latency_ms,OpsPerSec,RamMB,Event
0.1,BASE_ROCKSDB,WRITE,0,0,0,16.5547,NONE
0.2,BASE_ROCKSDB,WRITE,0,0,0,20.2656,NONE
0.301,BASE_ROCKSDB,WRITE,0,0,0,24,NONE
0.401,BASE_ROCKSDB,WRITE,0,0,0,27.7461,NONE
0.501,BASE_ROCKSDB,WRITE,0,0,0,31.4492,NONE
0.601,BASE_ROCKSDB,WRITE,0,0,0,35.1211,NONE
0.701,BASE_ROCKSDB,WRITE,0,0,0,38.7969,NONE
0.802,BASE_ROCKSDB,WRITE,0,0,0,42.5547,NONE
0.902,BASE_ROCKSDB,WRITE,0,0,0,46.293,NONE
1.002,BASE_ROCKSDB,WRITE,0,0,0,50.0312,NONE
1.102,BASE_ROCKSDB,WRITE,0,0,0,53.7891,NONE
1.202,BASE_ROCKSDB,WRITE,0,0,0,57.4648,NONE
1.303,BASE_ROCKSDB,WRITE,0,0,0,61.2109,NONE
1.403,BASE_ROCKSDB,WRITE,0,0,0,64.9609,NONE
1.503,BASE_ROCKSDB,WRITE,0,0,0,68.7305,NONE
1.603,BASE_ROCKSDB,WRITE,0,0,0,72.5,NONE
1.703,BASE_ROCKSDB,WRITE,0,0,0,76.2695,NONE
1.804,BASE_ROCKSDB,WRITE,0,0,0,82.3203,NONE
1.904,BASE_ROCKSDB,WRITE,0,0,0,20.625,NONE
2.004,BASE_ROCKSDB,WRITE,0,0,0,24.2461,NONE
2.104,BASE_ROCKSDB,WRITE,0,0,0,28.0273,NONE
2.204,BASE_ROCKSDB,WRITE,0,0,0,31.7852,NONE
2.304,BASE_ROCKSDB,WRITE,0,0,0,35.5625,NONE
2.404,BASE_ROCKSDB,WRITE,0,0,0,39.3242,NONE
2.505,BASE_ROCKSDB,WRITE,0,0,0,43.0938,NONE
2.605,BASE_ROCKSDB,WRITE,0,0,0,46.8711,NONE
2.705,BASE_ROCKSDB,WRITE,0,0,0,50.6367,NONE
2.805,BASE_ROCKSDB,WRITE,0,0,0,54.4062,NONE
2.905,BASE_ROCKSDB,WRITE,0,0,0,58.1484,NONE
3.005,BASE_ROCKSDB,WRITE,0,0,0,61.8828,NONE
3.106,BASE_ROCKSDB,WRITE,0,0,0,65.6406,NONE
3.206,BASE_ROCKSDB,WRITE,0,0,0,69.3984,NONE
3.306,BASE_ROCKSDB,WRITE,0,0,0,73.1641,NONE
3.406,BASE_ROCKSDB,WRITE,0,0,0,76.9336,NONE
3.507,BASE_ROCKSDB,WRITE,0,0,0,82.457,NONE
3.607,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
3.707,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
3.807,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
3.907,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
4.007,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
4.108,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
4.208,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
4.308,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
4.408,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
4.508,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
4.609,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
4.709,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
4.809,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
4.909,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
5.009,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
5.11,BASE_ROCKSDB,WRITE,0,0,0,79.5273,NONE
5.21,BASE_ROCKSDB,WRITE,0,0,0,82.5117,NONE
5.31,BASE_ROCKSDB,WRITE,0,0,0,83.957,NONE
5.41,BASE_ROCKSDB,WRITE,0,0,0,83.957,NONE
5.511,BASE_ROCKSDB,WRITE,0,0,0,83.957,NONE
5.611,BASE_ROCKSDB,WRITE,0,0,0,83.957,NONE
5.711,BASE_ROCKSDB,WRITE,0,0,0,83.957,NONE
5.811,BASE_ROCKSDB,WRITE,0,0,0,83.957,NONE
5.911,BASE_ROCKSDB,WRITE,0,0,0,83.957,NONE
6.011,BASE_ROCKSDB,WRITE,0,0,0,83.957,NONE
6.112,BASE_ROCKSDB,WRITE,0,0,0,83.957,NONE
6.212,BASE_ROCKSDB,WRITE,0,0,0,83.957,NONE
6.312,BASE_ROCKSDB,WRITE,0,0,0,83.957,NONE
