Timestamp,Engine,OpType,AvgLatency_ms,P99Latency_ms,OpsPerSec,RamMB,Event
0.1,BASE_ROCKSDB,WRITE,0,0,0,15.3906,NONE
0.2,BASE_ROCKSDB,WRITE,0,0,0,18.9844,NONE
0.3,BASE_ROCKSDB,WRITE,0,0,0,22.5977,NONE
0.4,BASE_ROCKSDB,WRITE,0,0,0,26.2422,NONE
0.501,BASE_ROCKSDB,WRITE,0,0,0,29.8672,NONE
0.601,BASE_ROCKSDB,WRITE,0,0,0,33.5273,NONE
0.701,BASE_ROCKSDB,WRITE,0,0,0,37.1914,NONE
0.801,BASE_ROCKSDB,WRITE,0,0,0,40.8828,NONE
0.901,BASE_ROCKSDB,WRITE,0,0,0,44.5742,NONE
1.002,BASE_ROCKSDB,WRITE,0,0,0,48.2656,NONE
1.102,BASE_ROCKSDB,WRITE,0,0,0,51.9648,NONE
1.202,BASE_ROCKSDB,WRITE,0,0,0,55.5391,NONE
1.302,BASE_ROCKSDB,WRITE,0,0,0,59.2031,NONE
1.402,BASE_ROCKSDB,WRITE,0,0,0,62.8633,NONE
1.503,BASE_ROCKSDB,WRITE,0,0,0,66.543,NONE
1.603,BASE_ROCKSDB,WRITE,0,0,0,70.2227,NONE
1.703,BASE_ROCKSDB,WRITE,0,0,0,73.9141,NONE
1.803,BASE_ROCKSDB,WRITE,0,0,0,77.5938,NONE
1.903,BASE_ROCKSDB,WRITE,0,0,0,83.5781,NONE
2.004,BASE_ROCKSDB,WRITE,0,0,0,21.8828,NONE
2.104,BASE_ROCKSDB,WRITE,0,0,0,25.5625,NONE
2.204,BASE_ROCKSDB,WRITE,0,0,0,29.207,NONE
2.304,BASE_ROCKSDB,WRITE,0,0,0,32.8828,NONE
2.404,BASE_ROCKSDB,WRITE,0,0,0,36.5508,NONE
2.504,BASE_ROCKSDB,WRITE,0,0,0,40.2266,NONE
2.605,BASE_ROCKSDB,WRITE,0,0,0,43.9258,NONE
2.705,BASE_ROCKSDB,WRITE,0,0,0,47.6133,NONE
2.805,BASE_ROCKSDB,WRITE,0,0,0,51.2969,NONE
2.905,BASE_ROCKSDB,WRITE,0,0,0,54.9531,NONE
3.005,BASE_ROCKSDB,WRITE,0,0,0,58.6016,NONE
3.106,BASE_ROCKSDB,WRITE,0,0,0,62.25,NONE
3.206,BASE_ROCKSDB,WRITE,0,0,0,65.9375,NONE
3.306,BASE_ROCKSDB,WRITE,0,0,0,69.6406,NONE
3.406,BASE_ROCKSDB,WRITE,0,0,0,73.3125,NONE
3.506,BASE_ROCKSDB,WRITE,0,0,0,77.0273,NONE
3.606,BASE_ROCKSDB,WRITE,0,0,0,82.5742,NONE
3.707,BASE_ROCKSDB,WRITE,0,0,0,79.5312,NONE
3.807,BASE_ROCKSDB,WRITE,0,0,0,79.5312,NONE
3.907,BASE_ROCKSDB,WRITE,0,0,0,79.5312,NONE
4.007,BASE_ROCKSDB,WRITE,0,0,0,79.5312,NONE
4.107,BASE_ROCKSDB,WRITE,0,0,0,79.5312,NONE
4.208,BASE_ROCKSDB,WRITE,0,0,0,79.5312,NONE
4.308,BASE_ROCKSDB,WRITE,0,0,0,79.5312,NONE
